[][--Logs--][]
03.01.2020 | 20:32:31 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | null
03.01.2020 | 20:35:13 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Профиль
03.01.2020 | 20:35:16 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Хмммм.
03.01.2020 | 20:35:19 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | get 23
03.01.2020 | 20:35:24 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | null
03.01.2020 | 20:35:54 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | !23 user.pet = 0
03.01.2020 | 20:35:57 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | все.
03.01.2020 | 20:36:01 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Профиль
03.01.2020 | 20:36:06 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Алилуя
03.01.2020 | 20:36:10 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Removemoney
03.01.2020 | 20:36:15 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Removemoney 23
03.01.2020 | 20:36:26 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Giverikl
03.01.2020 | 20:36:32 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Giverikl 23 111111111
03.01.2020 | 20:37:09 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Продать риклы
03.01.2020 | 20:37:13 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Ярик
03.01.2020 | 20:37:14 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Слушай
03.01.2020 | 20:37:21 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Го сделаем передачу роботов?
03.01.2020 | 20:38:07 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Захрена?
03.01.2020 | 20:38:14 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Она раньше была, а толку?
03.01.2020 | 20:40:03 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Проф
03.01.2020 | 20:40:06 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Кит
03.01.2020 | 20:40:10 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Вип
03.01.2020 | 20:40:21 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Донат
03.01.2020 | 20:40:27 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Вааааааааааааааааааатсон
03.01.2020 | 20:40:53 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | ?
03.01.2020 | 20:41:09 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | Тут доната нет?
03.01.2020 | 20:41:16 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Ты с компа?
03.01.2020 | 20:41:48 | Гл.Администратор | ID: 23 | ID Chat: 1 | URL: vk.com/id503478868 | А что?
03.01.2020 | 20:42:13 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | С тела зайди
03.01.2020 | 20:44:06 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | ну хоть в конкурсах можно)
03.01.2020 | 20:44:26 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | мне и с тела это не показывает...
03.01.2020 | 20:44:51 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | Ваня, попробуй на нвути сыграть
03.01.2020 | 20:44:56 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Оф вк нужен обновленный
03.01.2020 | 20:45:06 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | https:nvuti.media?i=1543163
03.01.2020 | 20:45:22 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | у меня в гугле написано, что последняя обнова была в марте...
03.01.2020 | 20:45:30 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | поэтому обновлений тип нет
03.01.2020 | 20:45:44 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | но они есть
03.01.2020 | 20:45:57 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | видимо старая версия телефона у меня
03.01.2020 | 20:46:25 | Создатель | ID: 1 | ID Chat: 1 | URL: vk.com/id239209526 | Вы вкурсе что вк рекламный api для ботов запилил?
03.01.2020 | 20:46:33 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | сначала 1 руб на 45% на больше
потом 2 на 22.2% на больше
03.01.2020 | 20:46:37 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | должно выдать
03.01.2020 | 20:46:49 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | нит
03.01.2020 | 20:47:09 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | попробуйте
03.01.2020 | 20:47:36 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | +10 руб должны поднять
03.01.2020 | 20:51:12 | Гл.Администратор | ID: 3 | ID Chat: 1 | URL: vk.com/id283752053 | новичкам +6 руб ещё дают
